"","KEY [2] (시 + 행정동)","인구_합(2015)"
"356","인천_계양동",87685
"357","인천_관교동",NA
"358","인천_구월동",113474
"359","인천_논현동",112487
"360","인천_도화동",NA
"361","인천_동춘동",55794
"362","인천_만수동",132076
"363","인천_문학동",NA
"364","인천_부개동",77665
"365","인천_부평동",151456
"366","인천_산곡동",95247
"367","인천_삼산동",70218
"368","인천_석남동",56263
"369","인천_송도동",NA
"370","인천_송림동",27802
"371","인천_송현동",16054
"372","인천_숭의동",NA
"373","인천_십정동",48548
"374","인천_연수동",70027
"375","인천_영종동",NA
"376","인천_옥련동",44956
"377","인천_용현동",NA
"378","인천_작전동",90960
"379","인천_장수동",NA
"380","인천_주안동",NA
"381","인천_청라동",NA
"382","인천_청천동",51774
"383","인천_학익동",NA
"384","인천_화수동",15854
"385","인천_효성동",63247
"386","전주_금암동",22890
"387","전주_삼천동",56476
"388","전주_송천동",67094
"389","전주_우아동",26600
"390","전주_인후동",68626
"391","전주_중화동",36114
"392","전주_평화동",59709
"393","전주_효자동",NA
"394","제주_삼도동",23669
"395","제주_용담동",24316
"396","제주_이도동",58536
"397","제주_일도동",39362
"398","진주_상대동",NA
"399","진주_하대동",NA
"400","창원_교방동",NA
"401","창원_구암동",22324
"402","창원_대산면",11066
"403","창원_마산구",387711
"404","창원_반월동",NA
"405","창원_석전동",NA
"406","창원_양덕동",40942
"407","창원_오동동",NA
"408","창원_웅동동",44932
"409","창원_중앙동",43663
"410","창원_충무동",NA
"411","창원_합성동",18215
"412","창원_회원동",24960
"413","천안_부성동",75802
"414","천안_성정동",45863
"415","천안_쌍용동",80220
"416","천안_원성동",22399
"417","청주_강서동",26104
"418","청주_내덕동",24155
"419","청주_복대동",70831
"420","청주_봉명동",41137
"421","청주_사직동",25347
"422","청주_수곡동",32304
"423","청주_용암동",68810
"424","춘천_효자동",27758
"425","춘천_후평동",48307
"426","충주_교현동",31139
"427","파주_금촌동",86763
"428","파주_운정동",129412
"429","평택_비전동",NA
"430","평택_신장동",12486
"431","하남_감북동",NA
"432","하남_덕풍동",64497
"433","하남_미사동",19000
"434","하남_신장동",50003
"435","화성_동탄동",NA
"436","화성_병점동",54851
