Unnamed: 0,지점명,주소,당행,x,y,도로명주소_after,x_cam,y_cam,Distance,Distance_after
242,대구지점,대구 서구 상중이동 1155번지,1000,128.539320364127,35.8616939125554,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,7.94,27.5
267,대구지점,대구 북구 칠곡중앙대로 21,20000,128.547908306606,35.8981600669494,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,5.02,31.34
268,대구지점,대구 북구 검단공단로 98,2464,128.614241857092,35.9141610523647,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,4.92,37.85
273,대구지점,경북 경산시 진량읍 문천길 139-9,4097,128.834403253785,35.890780060041,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,31.83,62.5
280,대구지점,경북 경산시 진량읍 공단7로 55,14675,128.828183118366,35.8633106872138,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,31.2,62.21
286,대구지점,대구 수성구 알파시티1로35길 23,1190,128.679444063665,35.8345480390375,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,13.02,31.97
292,대구지점,대구 달성군 유가읍 테크노순환로1길 30,3500,128.451412415171,35.6776563674073,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,39.65,4.31
294,대구지점,대구 수성구 알파시티1로31길 26,4380,128.680734018797,35.8343777994615,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,12.95,31.9
297,대구지점,대구 북구 검단공단로 72,8000,128.615644972229,35.9121908605127,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,4.67,40.23
303,대구지점,대구 서구 가르뱅이로10길 31,2977,128.532800180779,35.8848049425388,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,6.47,29.35
304,대구지점,경북 김천시 공단3길 64,0,128.130446622879,36.1520692112922,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,72.48,76.88
305,대구지점,대구 달서구 달서대로 232,2011,128.494076807408,35.8219717827468,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,19.36,19.08
306,대구지점,대구 달서구 와룡로45길 72-14,4400,128.533309522514,35.8538339759665,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,12.66,26.32
311,대구지점,대구 수성구 알파시티1로 117,2584,128.68697204768,35.8341554763538,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,13.04,32.75
317,대구지점,경북 영주시 가흥공단로 71,25000,128.590691827379,36.8271467778214,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,130.71,149.96
318,대구지점,경북 문경시 가은읍 가은공단길 97,4690,128.076297377338,36.6393831349878,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,126.64,141.51
320,대구지점,대구 서구 염색공단천로3길 11,0,128.5527654417,35.8910272352012,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,4.39,31.98
321,대구지점,대구 중구 달성로 100,18800,128.582534755256,35.874079904906,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,2.51,33.01
333,대구지점,대구 달서구 달서대로85길 77,7300,128.483109275174,35.8368561697343,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,18.96,20.91
335,대구지점,대구 달성군 유가읍 테크노순환로5길 14,3000,128.462191127577,35.6816512885849,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,40.57,3.41
337,대구지점,대구 달성군 논공읍 비슬로262길 59-9,5000,128.414093029211,35.748580983101,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,31.68,8.47
353,대구지점,대구 동구 동부로22길 28,9200,128.626436089847,35.8741668186501,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,5.41,32.59
355,대구지점,"서울 금천구 가산디지털1로 186, 213호",293,126.881581110867,37.4819130872905,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,293.76,308.63
361,대구지점,서울 용산구 한강대로 42,606000,126.964197674537,37.5245456464592,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,285.86,299.76
364,대구지점,대구 달서구 호산동로 13,2000,128.48539197918,35.8364240709178,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,18.63,20.59
378,대구지점,세종 연동면 명학산단로 130,3200,127.328429608911,36.5493086254943,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,171.93,186.8
395,대구지점,"서울 강남구 가로수길 77, 5층",48000,127.022304843969,37.5230240201008,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,279.92,294.78
396,대구지점,서울 강남구 삼성2동 144-17번지 골든타워 2층,34800,127.055534094789,37.5077443017368,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,280.22,295.31
399,대구지점,경기 화성시 우정읍 쌍봉로 634-93,1200,126.802516564093,37.1286090976822,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,269.4,284.26
409,대구지점,"2 OFFICE PARK COURT, SUITE 103, COLUMBIA, SOUTH CAROLINA 29223",0,NAN,NAN,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,,
412,대구지점,경북 경산시 진량읍 공단7로 42,6655,128.828925127478,35.8619948544973,대구광역시 달성군 현풍면 테크노중앙대로 333,128.455011037452,35.7056387443107,31.22,62.2
2,울산지점,울산 남구 사평로 251,5100,129.333817660781,35.5096556464557,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,5.33,18.0
3,울산지점,울산 울주군 청량읍 상개로 63-15,80000,129.316420269813,35.4907438892293,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,6.57,19.76
8,울산지점,울산 울주군 온산읍 처용산업2길 12,50000,129.343287908825,35.4640405477484,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,11.31,25.18
9,울산지점,울산 울주군 범서읍 정지불길 119,4300,129.237597050963,35.6150062692854,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,14.73,10.0
14,울산지점,울산 울주군 웅촌면 밭마당길 20,1000,129.172064118278,35.4465604679997,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,19.07,18.45
17,울산지점,울산 남구 삼산중로 94,7550,129.335927880658,35.5418454215584,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,3.46,16.35
19,울산지점,울산 남구 장생포로 389,22140,129.383353241518,35.5087141437875,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,8.04,22.52
20,울산지점,울산 남구 용잠로 328,0,129.367887389388,35.487939459466,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,9.04,21.77
26,울산지점,충북 음성군 금왕읍 금율로30번길 32-10,939,127.547327423146,37.0105705565412,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,275.29,269.89
28,울산지점,울산 울주군 두동면 봉계농공길 17-8,300,129.206055532216,35.7068206962004,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,40.63,30.45
29,울산지점,울산 남구 용잠로 353,87264,129.37027556334,35.4970206117201,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,9.44,22.16
31,울산지점,울산 울주군 상북면 길천산업2길 24-19,350,129.077636679274,35.597494223169,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,27.91,17.54
32,울산지점,울산 울주군 온산읍 우봉강양로 3-36,204714,129.354874138662,35.4072552341396,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,18.74,31.93
35,울산지점,경남 김해시 진영읍 본산2로 103,1520,128.75722652998,35.31266766193,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,80.92,73.36
41,울산지점,서울 서초구 마방로6길 17,19000,127.042379259406,37.4750787758774,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,359.59,354.19
43,울산지점,울산 남구 장생포로 83,114919,129.35211169731,35.5201321369648,울산광역시 울주군 언양읍 유니스트길 50,129.187618949573,35.5773071411833,5.1,19.57
