지점명,주소,다행
평택지점,경기 평택시 포승읍 만호리 584-1번지 포승국가산업단지,0 
송도지점,인천 남동구 아암대로 1213,"7,950 "
충주지점,충남 당진시 합덕읍 상덕로 597-43,"13,761 "
영업부,서울 서초구 강남대로 587,"25,000 "
아산지점,세종 소정면 소정산단동로 9,"8,000 "
포항지점,경북 포항시 남구 대송로101번길 34,0 
강남지점,인천 서구 건지로 199,"74,258 "
여의도지점,충북 보은군 장안면 우진플라임로 100,"94,721 "
,서울 중구 충무로 2,0 
천안지점,충남 아산시 둔포면 아산밸리로 357,"3,500 "
청주지점,대전 대덕구 아리랑로 121,"4,400 "
포항지점,경북 포항시 남구 장흥로39번길 7,"26,681 "
대전지점,충남 논산시 연산면 선비로720번길 40,"6,910 "
여의도지점,서울 금천구 가산동 327-32번지 대륭테크노타운12차 509호,"5,997 "
시화지점,충남 서천군 장항읍 장항공단길 64,13 
수원지점,경북 경주시 공단로69번길 30,"13,500 "
부산지점,"부산 부산진구 황령대로 23, 3층","28,000 "
대구지점,대구 달서구 달서대로109길 152,"8,000 "
경산지점,경북 경산시 진량읍 일연로 574,"12,000 "
마포지점,서울 송파구 위례성대로22길 32,"3,700 "
종로지점,서울 종로구 창경궁로 136,"114,892 "
강남지점,서울 강남구 언주로 709,"23,754 "
잠원지점,서울 강남구 봉은사로 130,"4,350 "
부산지점,경남 김해시 생림면 생림대로928번길 10-58,"1,700 "
해운대지점,울산 울주군 두동면 봉계농공길 8,"23,300 "
마곡지점,서울 강서구 공항대로 467,"3,000 "
대덕지점,세종 연서면 공단로 117,"10,000 "
판교지점,"서울 영등포구 은행로 17, NICE 그룹 1사옥","13,232 "
진주지점,경남 합천군 용주면 노리팔산길 279-109,0 
안산지점,경기 안산시 단원구 해안로 289,"10,000 "
성동지점,서울 마포구 마포대로 58,"4,300 "
영업부,충남 천안시 동남구 풍세면 잔다리길 55,"19,000 "
여수지점,전남 여수시 여수산단로 534,"9,850 "
진주지점,경남 밀양시 부북면 춘화로 85,"19,672 "
경주지점,경북 경주시 외동읍 외동농공단지길 14,"3,980 "
부천지점,서울 양천구 목동서로 301-5,"1,714 "
,경남 산청군 오부면 오동로273번길 14,645 
여의도지점,부산 중구 중앙대로 75,"11,352 "
한티지점,충남 아산시 음봉면 연암율금로 330,"10,000 "
동탄지점,충북 진천군 진천읍 금사로 16,"5,000 "
금정지점,부산 중구 대청로 148,"10,350 "
남울산지점,경기 평택시 진위면 서탄로 9,"3,750 "
원주지점,강원 춘천시 삭주로 163,0 
양산지점,경남 양산시 어실로 101,"8,096 "
,서울 금천구 독산4동 1030-1번지,500 
반포지점,서울 강남구 도산대로 156,"10,000 "
군산지점,전북 군산시 해망로 178,351 
대덕지점,세종 전의면 산단길 220,"4,750 "
구미지점,경북 구미시 산동읍 첨단기업3로 54-8,"2,000 "
서초지점,서울 서초구 서초중앙로 63,"1,364 "
가산지점,서울 금천구 가산디지털1로 104,"10,000 "
전주지점,경기 시흥시 공단1대로321번길 45,"10,000 "
구미지점,경북 포항시 남구 대송로101번길 67,"1,000 "
분당지점,광주 광산구 하남산단7번로 39,"9,600 "
마포지점,서울 마포구 마포대로 119,"22,774 "
전주지점,전북 김제시 월촌공단길 110-31,"20,609 "
여수지점,제주 제주시 동문로 125,"3,300 "
광주지점,광주 광산구 하남산단8번로 20,"4,000 "
잠실지점,경기 이천시 부발읍 중부대로1707번길 13,"17,250 "
종로지점,"서울 중구 을지로5길 16, 5층",0 
마곡지점,"서울 강서구 공항대로 467, 4층",0 
군산지점,전북 군산시 동장산로 106-22,"5,000 "
한티지점,서울 강남구 테헤란로 504,"122,500 "
시화지점,"경기 시흥시 경제로 37, 705호","2,000 "
영업부,서울 관악구 남부순환로 1883,"28,995 "
성서지점,대구 달서구 달서대로64길 29,409 
마곡지점,서울 중구 세종대로 124,"14,914 "
시화지점,경기 시흥시 공단1대로 295,"40,830 "
금천지점,서울 동작구 여의대방로 112,0 
당진지점,전북 익산시 석암로3길 80,0 
시화지점,경기 시흥시 옥구천서로185번길 46,"3,686 "
원주지점,인천 연수구 벤처로100번길 26,"26,100 "
한티지점,서울 마포구 홍익로 25,0 
해양산업금융실,경남 창원시 성산구 공단로 67,"110,000 "
종로지점,충남 공주시 유구읍 유구마곡사로 136-23,"100,000 "
시화지점,경기 시흥시 공단1대로379번안길 29,596 
창원지점,경남 창원시 성산구 연덕로15번길 10,"10,000 "
,경남 함안군 산인면 신산리 578-10,0 
반포지점,경기 안양시 동안구 흥안대로 405,"60,000 "
부천지점,"경기 부천시 소향로 11, 3층 301호, 314호","2,000 "
울산지점,울산 울주군 웅촌면 밭마당길 20,"1,000 "
성서지점,대구 달성군 논공읍 논공중앙로33길 10,"36,207 "
전주지점,광주 북구 신임로31번길 10,"4,000 "
잠실지점,경기 포천시 영중면 먼재길 129,"3,500 "
제주지점,제주 제주시 문연로 6,"84,700 "
구미지점,"대구 북구 유통단지로 50, 4층 407호","11,120 "
기업금융2실,경기 안양시 동안구 동편로 91,"7,000 "
서부산지점,부산 강서구 녹산산업북로 57,"2,580 "
잠실지점,경기 안산시 단원구 산단로83번길 90,0 
용인지점,"서울 마포구 독막로 311, 12층","3,000 "
분당지점,"경기 성남시 분당구 판교로255번길 34, 5층","15,000 "
해양산업금융실,경북 경주시 외동읍 모화공단길 125-25,"3,740 "
광주지점,경기 부천시 오정구 석천로 457,"67,600 "
송도지점,전북 임실군 임실읍 호국로 1746,"32,514 "
도곡지점,서울 서초구 효령로 155,"5,000 "
화성지점,경기 안산시 단원구 첨단로207번길 5,"4,800 "
산본지점,경기 시흥시 공단1대로 296,"96,966 "
포항지점,경북 경주시 양남면 동남로 167-42,"27,151 "
금정지점,부산 동래구 금강공원로 16,0 
