지점명,주소,다행
수원지점,경기 수원시 권선구 산업로155번길 100,560 
부천지점,경기 부천시 호현로489번길 28,"34,267 "
아산지점,충남　홍성군　홍성읍　오관리　９８,16 
강남지점,충북 음성군 삼성면 대성로 417,"2,700 "
잠실지점,경기 과천시 별양상가3로 5,"2,150 "
부천지점,인천 서구 건지로95번길 33,"1,550 "
양산지점,부산 기장군 정관읍 농공길 2-9,"352,596 "
부천지점,충북 음성군 소이면 소이로 313,"92,500 "
구미지점,경북 칠곡군 약목면 경호천동길 62-7,"1,600 "
군산지점,전북 익산시 석암로17길 27,"3,981 "
남울산지점,울산 북구 효암로 164,"1,250 "
군산지점,울산 북구 효자로 82,"5,000 "
시화지점,경기 시흥시 경제로 59,500 
,경기 오산시 남부대로 374,"23,000 "
하남지점,서울 영등포구 선유동1로 22,"17,421 "
용인지점,경기 용인시 처인구 이동읍 시미곡로 37,"15,700 "
평택지점,"부산 사하구 하신번영로 135, 3층","9,061 "
구미지점,경북 구미시 옥성면 선상동로 649,"2,300 "
반포지점,서울 서초구 사평대로 84,"2,000 "
서초지점,전북 익산시 중앙로 121,"47,000 "
도곡지점,"서울 강남구 테헤란로 201, 3,4, 5층","28,000 "
당진지점,충남 논산시 연무읍 동산산업단지로 101-11,"4,000 "
부천지점,서울 강서구 양천로30길 123-11,"1,458 "
광주지점,광주 광산구 소촌로123번길 40-16,"5,900 "
춘천지점,강원 원주시 태장공단길 56,"2,500 "
성서지점,대구 달성군 구지면 국가산단대로39길 119,"34,915 "
전주지점,전북 전주시 완산구 장승배기로 204,"4,345 "
구미지점,"서울 영등포구 은행로 30, 신관 5층","4,615 "
광주지점,"광주 동구 서석로85번길 8-12, 5층","5,000 "
노원지점,"서울 송파구 위례성대로16길 7, 4층","9,300 "
판교지점,"서울 중구 통일로 92, 14층, 15층","20,000 "
김포지점,인천 남동구 능허대로625번길 35,"2,999 "
반포지점,충북 진천군 광혜원면 죽현리 492-17번지,"2,000 "
시화지점,충남 공주시 탄천면 탄천산업단지길 80-61,"18,771 "
포항지점,경북 포항시 남구 대송면 송동리 877-2번지,"7,630 "
당진지점,"경기 시흥시 협력로 248, 410호","55,000 "
금정지점,부산 동래구 여고로 77,"6,000 "
경산지점,"서울 강남구 영동대로85길 30, 9층","3,000 "
서부산지점,경남 창원시 진해구 남의로 57,"52,675 "
금천지점,서울 구로구 디지털로31길 12,"17,787 "
여의도지점,서울 강남구 논현로 322,"2,908 "
전주지점,충북 옥천군 동이면 동이농공길 73-3,383 
성서지점,대구 달성군 논공읍 논공중앙로34길 35,"120,389 "
강남지점,"서울 마포구 마포대로 86, 16층","10,000 "
마포지점,"경기 성남시 중원구 둔촌대로 545, B동 2층","10,000 "
화성지점,충남 천안시 서북구 입장면 연곡길 308,"12,466 "
영업부,"서울 서초구 서초중앙로 36, 7층","3,000 "
시화지점,경기 안산시 단원구 성곡로 59,"20,063 "
종로지점,서울 종로구 율곡로2길 25,300 
대전지점,대전 서구 대덕대로 211,"30,000 "
의정부지점,경기 양주시 광적면 그루고개로 262,"18,400 "
김포지점,"서울 송파구 중대로 109, 501호","19,800 "
춘천지점,경기 여주시 가남읍 흑석로 1,"7,000 "
용인지점,"경기 용인시 수지구 디지털벨리로 81, 6층","40,000 "
노원지점,서울 강남구 테헤란로 445,"10,000 "
반포지점,인천 연수구 갯벌로 98,"50,000 "
대전지점,대전 중구 유등천동로 762,"4,995 "
종로지점,서울 서초구 강남대로107길 5,"17,470 "
일산지점,서울 영등포구 선유로52길 17,"11,750 "
인천지점,경기 안산시 단원구 원시로 86,"6,592 "
기업구조조정2실,서울 노원구 덕릉로70길 54,"4,068 "
영업부,경기 광명시 신기로 20,"111,743 "
성서지점,경북 고령군 다산면 다산산단1길 7,"2,800 "
분당지점,경기 광주시 광남안로 39-12,990 
여의도지점,서울 서초구 동산로 86,"10,000 "
원주지점,"강원 홍천군 서면 한치골길 262, 1층","10,000 "
일산지점,경기 고양시 덕양구 고양대로1643번길 164,"4,359 "
충주지점,전남 나주시 반남면 장송길 73,"13,800 "
화성지점,경기 화성시 정남면 가장로 334-10,"17,100 "
안양지점,경기 화성시 남양읍 무하로 70-7,350 
평택지점,경기 평택시 진위면 진위산단로 53-73,"23,600 "
성서지점,대구 달서구 호산동로 42,0 
천안지점,충남 천안시 서북구 백석공단7로 16,"96,400 "
시화지점,서울 동작구 보라매로5길 15,"27,708 "
원주지점,강원 횡성군 횡성읍 한우로 755,"11,186 "
영업부,서울 마포구 마포대로 78,0 
도곡지점,충남 천안시 서북구 직산읍 4산단1길 10,0 
동탄지점,경기 평택시 포승읍 도곡리 1208-6번지,"6,068 "
분당지점,경북 포항시 북구 청하면 동해대로2315번길 54-4,"21,800 "
성동지점,"경기 성남시 분당구 분당로 55, 9층","5,000 "
인천지점,경기 부천시 수도로 139,"30,000 "
마포지점,충남 아산시 실옥로 174,"14,000 "
판교지점,"서울 중구 통일로 92, 16층","64,000 "
노원지점,서울 서초구 서운로 42,"1,500 "
원주지점,강원 원주시 문막읍 동화공단로 110-1,"1,300 "
청주지점,충북 청주시 흥덕구 직지대로474번길 60,"21,781 "
양천지점,서울 강서구 방화대로 94,"16,344 "
시화지점,경기 시흥시 협력로 165,"50,052 "
마포지점,서울 강남구 논현로34길 28,0 
용인지점,서울 강남구 영동대로 315,"41,000 "
광주지점,광주 광산구 첨단중앙로170번길 59,"17,600 "
창원지점,경남 창원시 성산구 공단로 675,0 
경주지점,경북 경주시 문무대왕면 불국로 1655,0 
충주지점,경기 평택시 포승읍 평택항로156번길 133,"34,600 "
전주지점,전북 전주시 완산구 유연로 276,"5,199 "
압구정지점,경기 고양시 일산동구 호수로 596,"19,500 "
평택지점,경기 화성시 팔탄면 언창공단길 54-13,"2,500 "
화성지점,"서울 강남구 선릉로 514, 10층","5,000 "
송도지점,인천 남동구 남동서로221번길 52,"16,959 "
서소문지점,경기 화성시 양감면 초록로 103,"42,050 "
아산지점,서울 강남구 역삼로 223,"5,000 "
용인지점,서울 성동구 아차산로15길 28,"11,500 "
당진지점,경기 안산시 단원구 지원로 173,0 
아산지점,충남 아산시 온천대로1122번길 46-5,"1,000 "
금정지점,부산 사하구 신산로 14,"20,588 "
시화지점,경기 시흥시 서해안로 148,"19,800 "
강남지점,서울 송파구 오금로46길 49,"24,540 "
천안지점,세종 전의면 덕고개길 12-11,"83,343 "
울산지점,울산 울주군 삼동면 보은로 11,0 
종로지점,서울 강남구 테헤란로 306,"50,014 "
아산지점,충남 아산시 음봉면 연암산로 169,"15,250 "
수원지점,경기 평택시 청북읍 청북산단로 31,"105,964 "
분당지점,경기 평택시 팽성읍 추팔산단1길 23,"8,300 "
천안지점,전북 익산시 석암로17길 104,"19,672 "
안산지점,경기 안산시 단원구 첨단로285번길 7,"5,000 "
하남지점,경기 김포시 고촌읍 아라육로 95,"20,200 "
성동지점,"서울 성동구 상원1길 22, 6,7,8층","2,000 "
경산지점,경북 영천시 본촌공단길 39,"126,651 "
,대구 북구 산격3동 1370 경북테크노파크 411호,0 
서초지점,"서울 강남구 강남대로 308, 9층","15,000 "
전주지점,경기 안산시 단원구 범지기로141번길 36,"3,000 "
동탄지점,경기 오산시 독산성로 342,"24,000 "
제주지점,제주 제주시 첨단로 179,"1,313 "
마곡지점,서울 강남구 압구정로 154,"19,500 "
송도지점,인천 남동구 앵고개로622번길 51,10 
금천지점,서울 구로구 디지털로27길 12,"2,000 "
판교지점,"서울 금천구 가산디지털1로 75-24, 1310호","6,500 "
강남지점,경기 부천시 산업로 28,0 
가산지점,대전 유성구 테크노3로 8-10,"100,000 "
송도지점,인천 남동구 남동서로 321,"5,449 "
인천지점,충남 아산시 둔포면 아산밸리북로 111-21,"25,964 "
진주지점,경남 사천시 사천읍 구암두문로 412-30,"4,000 "
천안지점,경기 평택시 청룡동 213-1번지,619 
원주지점,강원 원주시 우산공단길 8-33,"19,700 "
포항지점,경북 포항시 남구 대송면 송덕로 30,"3,312 "
여의도지점,서울 용산구 이태원로 179,"2,413 "
대구지점,대구 중구 국채보상로 642,"2,910 "
종로지점,서울 서대문구 신촌로 129,0 
여의도지점,경기 시흥시 경제로 17,"13,000 "
목포지점,광주 광산구 하남산단10번로 160,"31,803 "
일산지점,"경기 안양시 동안구 학의로 282, A동 22층",497 
전주지점,전북 김제시 순동산단1길 37,"38,001 "
여의도지점,충남 아산시 남성길 256,"3,000 "
평택지점,충북 청주시 서원구 남이면 저산척북로 576-26,"2,184 "
시화지점,경기 안산시 단원구 해봉로255번길 16,"32,700 "
마곡지점,"서울 강남구 삼성로 511, 4층","23,000 "
압구정지점,충북 진천군 덕산읍 인석로 95-13,"22,000 "
안산지점,경기 안산시 단원구 원시로 71,"9,379 "
전주지점,"서울 서초구 남부순환로337가길 43-9, 4층","28,869 "
구미지점,경북 구미시 수출대로7길 11,"6,000 "
대전지점,대전 대덕구 신일동로67번길 24,0 
서소문지점,경기 안성시 서운면 제3공단1길 148,"2,000 "
판교지점,경기 화성시 동탄면 동탄산단9길 23-12,"29,419 "
화성지점,경기 화성시 경기동로 505,"1,800 "
판교지점,경기 성남시 분당구 판교역로 220,"50,500 "
판교지점,인천 부평구 새벌로 4,"2,100 "
김해지점,부산 사하구 다산로53번길 15,"1,300 "
종로지점,서울 강서구 마곡중앙8로7길 45,"1,375 "
부천지점,인천 서구 건지로250번길 104,"3,345 "
금정지점,경남 창원시 성산구 창원대로1144번길 40,"54,530 "
금천지점,"서울 구로구 디지털로 288, 15층",850 
성서지점,대구 달성군 구지면 달성2차동1로 46,"2,635 "
대전지점,대전 유성구 관평동 533-1번지 미건테크노월드2차 204호,"1,800 "
성서지점,대구 달성군 논공읍 논공중앙로51길 42,"10,000 "
잠실지점,"서울 송파구 오금로 491, 3,4층","9,793 "
마곡지점,서울 강서구 마곡중앙14로 53,"17,400 "
압구정지점,충북 진천군 이월면 고등2길 15,"3,000 "
용인지점,"서울 마포구 독막로 311, 5층, 11층","24,960 "
시화지점,인천 남동구 남동서로 294,"11,606 "
오창지점,충남 아산시 둔포면 아산밸리동로 78,"17,450 "
평택지점,"경기 평택시 포승읍 평택항만길 397, 2층","2,000 "
여의도지점,충남 천안시 동남구 성남면 대정1길 19-11,"14,375 "
성동지점,서울 광진구 구의강변로 44,"4,784 "
김해지점,경남 김해시 유하로 154-9,"8,000 "
서소문지점,"경기도 성남시 중원구 사기막골로105번길27, 5층(상대원동, 중앙인더스피아3차)","3,000 "
충주지점,충북 음성군 삼성면 덕호로94번길 5,500 
광주지점,광주 광산구 평동로913번길 36,"2,527 "
안산지점,서울 강서구 마곡중앙12로 3,"63,750 "
여의도지점,"경기 평택시 포승읍 포승공단로 42, 이구산업(주)","72,519 "
부산지점,부산 강서구 대저2동 3155-3번지,600 
서소문지점,"경기 군포시 엘에스로 153-18, 4,5,6층","7,000 "
금정지점,경남 양산시 유산공단2길 11,"24,000 "
수원지점,경기 파주시 문발로 77,"28,500 "
천안지점,충남 아산시 둔포면 아산밸리로 171,"25,000 "
광주지점,전남 영암군 삼호읍 용앙로 438,"11,810 "
목포지점,광주 광산구 용아로 548,"77,742 "
여의도지점,"서울 용산구 원효로 138, 8층","4,536 "
,충북 제천시 바이오밸리2로 93,"8,000 "
압구정지점,"경기 화성시 동탄첨단산업1로 27, A동 901호","15,800 "
금정지점,경남 양산시 어곡공단로 116,"13,000 "
부천지점,경기 부천시 산업로8번길 42-8,"2,700 "
부천지점,인천 남동구 능허대로577번길 78,"19,324 "
수원지점,충북 진천군 이월면 진광로 525-17,"12,729 "
시화지점,대전 동구 대전로 741,"4,495 "
안산지점,경기 안산시 상록구 도금단지1길 22,683 
노원지점,서울 강남구 도산대로 228,"37,074 "
인천지점,인천 미추홀구 염전로 114,"2,000 "
대덕지점,대전 유성구 유성대로1596번길 32-48,0 
압구정지점,경기 화성시 정남면 괘랑2길 1,"5,000 "
구미지점,경북 구미시 산동읍 첨단기업로 71,"81,565 "
천안지점,충남 천안시 동남구 성남면 대흥신덕길 84-19,0 
평택지점,서울 마포구 월드컵로14길 50-13,"1,200 "
충주지점,강원 강릉시 옥계면 산계길 225,"116,476 "
금천지점,경기 화성시 남양읍 현대기아로 679-24,"41,000 "
구미지점,경북 칠곡군 약목면 관호10길 239,680 
판교지점,"경기 성남시 분당구 대왕판교로 660, 비동 401호, 501호","12,933 "
하남지점,서울 강남구 언주로 541,"10,809 "
성서지점,대구 달서구 월성1동 895-7번지,"9,100 "
양산지점,경남 양산시 충렬로 309,"2,000 "
부산지점,경남 김해시 생림면 마사로 185,"1,139 "
군산지점,경남 김해시 진영읍 서부로179번길 6,"3,000 "
아산지점,충남 아산시 음봉면 백석공단1로 159,406 
성서지점,대구 달서구 성서동로 142,"25,500 "
종로지점,서울 광진구 천호대로 636,"10,265 "
구미지점,경북 김천시 아포읍 아포공단길 106,"6,775 "
가산지점,"서울 강서구 마곡중앙2로 61, 4,5,6,7,8층","1,770 "
금천지점,"서울 금천구 벚꽃로 298, 1207호",900 
아산지점,서울 서초구 탑성말길 17,815 
청주지점,충북 진천군 덕산읍 한삼로 275,"17,500 "
안산지점,경기 안산시 단원구 성곡동 748-3번지 시화공단4바 504호,"10,000 "
판교지점,서울 송파구 동남로4길 41,800 
전주지점,전북 전주시 덕진구 혁신로 616,"1,370 "
마포지점,"서울 마포구 월드컵북로 396, 17층","4,000 "
가산지점,"서울 송파구 법원로11길 28, 10층,11층,12층","9,000 "
반포지점,"서울 구로구 오리로22다길 40, B동","1,550 "
안산지점,충남 당진시 합덕읍 합덕산단3로 85,"5,000 "
성동지점,경기 여주시 가남읍 연삼로 284,"3,000 "
분당지점,서울 강남구 영동대로106길 42,"15,000 "
서소문지점,서울 강동구 올림픽로70길 34,0 
김해지점,경남 김해시 한림면 김해대로916번길 154-36,"2,600 "
부천지점,경기 부천시 오정로 19,"8,861 "
노원지점,세종 부강면 금호선말길 74-12,"12,400 "
기업금융1실,서울 서초구 반포1동 745-5번지,"5,000 "
분당지점,경기 성남시 중원구 순환로 222,"3,386 "
전주지점,전북 전주시 덕진구 건지로 20,"61,131 "
목포지점,경기 평택시 포승읍 포승공단로 76,"3,000 "
서초지점,경북 상주시 외답6길 33,0 
금천지점,경기 용인시 처인구 이동면 백옥대로 563,"21,065 "
동탄지점,서울 노원구 하계동 284번지,"10,000 "
창원지점,부산 기장군 철마면 여락송정로 363,0 
,경북 칠곡군 가산면 송신로 78,0 
분당지점,전북 군산시 자유무역3길 19,"8,972 "
경산지점,충남 아산시 신창면 서부남로 448,"30,668 "
한티지점,서울 송파구 송파대로 268,"40,518 "
영업부,"강원 원주시 시청로 21, 7층","11,021 "
서소문지점,서울 마포구 도화동 22번지 창강빌딩 611호,"3,000 "
압구정지점,경기 용인시 수지구 대지로 251,"6,194 "
부산지점,"부산 중구 충장대로9번길 16, 6층","8,584 "
서초지점,경북 문경시 마성면 마성공단길 162,"15,428 "
부천지점,경기 용인시 처인구 유림로154번길 42,"7,000 "
가산지점,서울 강서구 마곡중앙8로7길 11,"4,172 "
평택지점,경기 이천시 마장면 중부대로 665-10,"2,200 "
평택지점,경기 평택시 포승읍 평택항로268번길 149,0 
천안지점,충남 아산시 음봉면 연암율금로 77,"41,989 "
아산지점,충남 천안시 서북구 성환읍 연암율금로 42,"7,930 "
군산지점,경기 김포시 장릉로 45-10,"5,070 "
전주지점,전북 완주군 봉동읍 완주산단1로 43,"12,247 "
서소문지점,서울 강남구 봉은사로29길 48,"3,000 "
포항지점,경북 구미시 옥계2공단로 263,"2,115 "
동탄지점,경기 화성시 동탄기흥로 64-17,"2,780 "
가산지점,"서울 구로구 디지털로 273, 905호","1,000 "
부산지점,부산 부산진구 전포대로 217,"22,857 "
노원지점,서울 서초구 반포대로28길 43,"57,774 "
여수지점,"서울 영등포구 여의나루로 60, 8층","3,000 "
충주지점,경기 김포시 월곶면 김포대로2918번길 22,"3,200 "
부산지점,경남 김해시 한림면 김해대로1559번길 15,"6,500 "
송도지점,인천 남동구 남동대로156번길 79,"2,000 "
분당지점,"서울 강남구 역삼로 552, 4층","2,000 "
충주지점,충북 음성군 금왕읍 금율로 168,"2,800 "
여의도지점,인천 서구 가정로58번길 24,"9,000 "
대덕지점,충북 청주시 청원구 오창읍 각리1길 78,"35,000 "
성서지점,대구 달성군 논공읍 논공중앙로 211,"36,136 "
송도지점,인천 연수구 아카데미로 23,"181,803 "
천안지점,세종 조치원읍 허만석로 40-2,"11,291 "
압구정지점,서울 강남구 테헤란로98길 12,"100,000 "
영업부,경남 창원시 성산구 적현로 490,"10,600 "
시화지점,경기 화성시 팔탄면 서해로 1322-17,"3,587 "
안산지점,경기 안산시 단원구 해봉로 195,"35,115 "
영업부,충북 충주시 국원대로 344,"26,046 "
강남지점,서울 강남구 삼성동 159번지,0 
울산지점,경북 영천시 북안면 내서로 55-25,"4,900 "
서소문지점,"서울 서초구 언남5길 4, 4층","2,000 "
오창지점,충북 청주시 청원구 북이면 화상석성로 482,190 
금정지점,"서울 종로구 새문안로 92, 9층","5,545 "
창원지점,경남 창원시 마산회원구 봉암공단2길 6,"38,000 "
전주지점,전북 정읍시 2산단4길 28,"14,250 "
서초지점,경기 용인시 처인구 이동읍 화산로93번길 15-7,"22,860 "
분당지점,경기 성남시 분당구 판교로 308,"66,000 "
오창지점,경기 성남시 분당구 성남대로 884-3,"10,000 "
평택지점,경기 평택시 포승읍 도곡리 1221번지,"15,230 "
마포지점,서울 마포구 양화로 104,0 
종로지점,대구 달서구 성서공단남로 151,"16,000 "
경주지점,"대구 북구 검단로 193, 3층","3,170 "
충주지점,경기 안산시 단원구 산단로19번길 196,"3,000 "
안산지점,경기 안산시 단원구 해안로 404,"176,576 "
서소문지점,서울 용산구 청파로61길 5,"1,893 "
일산지점,경기 파주시 문발동 518-1번지,"1,000 "
대전지점,대전 유성구 교촌대정로 202,"4,330 "
분당지점,경기 고양시 일산동구 동국로 240,"35,500 "
영업부,서울 강남구 선릉로111길 20,0 
청주지점,충북 청주시 청원구 오창읍 양청송대길 167,"8,954 "
청주지점,"충북 청주시 청원구 오창읍 중심상업로 14, 501호","1,448 "
송도지점,충남 당진시 신평면 조비실길 16-8,"16,136 "
인천지점,인천 서구 가재울로54번길 35,"12,491 "
대구지점,대구 달성군 논공읍 논공중앙로45길 16,"35,792 "
강남지점,"서울 송파구 충민로 52, S동 606호","21,115 "
안산지점,경기 시흥시 엠티브이26로58번길 56,"13,000 "
전주지점,전북 김제시 만경읍 만경공단2길 73,"29,381 "
화성지점,서울 강남구 선릉로 514,"1,000 "
천안지점,충남 천안시 동남구 수신면 수신로 485-34,"20,000 "
분당지점,경기 성남시 중원구 갈마치로 214,"38,000 "
용인지점,경기 용인시 처인구 경안천로 350,"15,000 "
인천지점,인천 중구 서해대로 3,0 
금천지점,"경기 용인시 기흥구 흥덕중앙로 120, 6층","10,000 "
압구정지점,"서울 마포구 월드컵북로 402, 18층",76 
시화지점,경기 이천시 마장면 덕평로 772-49,"8,004 "
압구정지점,서울 송파구 올림픽로35다길 42,"41,400 "
전주지점,경기 화성시 향남읍 제약공단4길 35-14,"69,888 "
김포지점,"서울 영등포구 여의공원로 115, 8층, 9층","3,500 "
평택지점,경기 평택시 서탄면 발안로 1176,"14,194 "
마포지점,"서울 중구 퇴계로 213, 5층",0 
종로지점,서울 서초구 남부순환로 2159,"39,124 "
전주지점,전북 완주군 이서면 콩쥐팥쥐로 1068,"5,400 "
아산지점,충남 아산시 음봉면 음봉로 471-15,"6,366 "
기업금융1실,인천 연수구 갯벌로 92,"17,000 "
진주지점,경남 사천시 사남면 외국기업로 152-54,"15,000 "
시화지점,경기 안산시 단원구 산단로 270,"3,000 "
서초지점,경기 안성시 원곡면 청원로 1763,"30,947 "
분당지점,경기 평택시 팽성읍 추팔산단1길 157,"30,000 "
서부산지점,부산 강서구 녹산산단361로 26,100 
분당지점,전남 순천시 서면 산단3길 12,"7,000 "
부천지점,경기 부천시 오정로 215,"18,198 "
포항지점,경북 포항시 북구 청하면 동해대로2315번길 34-2,"1,733 "
진주지점,경남 진주시 강남로 79,"183,662 "
부천지점,경기 부천시 오정로 215,"1,000 "
시화지점,"서울 금천구 가산디지털2로 53, 14층","6,133 "
창원지점,경남 함안군 군북면 함안산단1길 26-23,"12,657 "
여수지점,충남 천안시 동남구 광덕면 세종로 4162,"1,030 "
도곡지점,서울 서초구 마방로 68,"81,932 "
아산지점,충남 천안시 서북구 입장면 신대길 8,"89,620 "
성동지점,서울 영등포구 시흥대로 613,"3,000 "
목포지점,광주 광산구 평동산단로 239-20,"16,000 "
금천지점,"서울 영등포구 양산로 43, 601호",0 
송도지점,전남 영암군 삼호읍 산단서부로 85,"35,590 "
강남지점,충남 논산시 부적면 예학로 190-32,"1,704 "
평택지점,경기 오산시 황새로 169,0 
시화지점,"경기 시흥시 공단2대로 192, 401-2호","4,514 "
노원지점,서울 중랑구 중랑천로 71,"100,000 "
경산지점,경남 창원시 성산구 성산패총로 86,"4,948 "
군산지점,전북 김제시 백산면 자유무역2길 45-22,"8,902 "
강남지점,충북 청주시 청원구 오창읍 연구단지로 53,"11,309 "
천안지점,경기 안산시 단원구 동산로27번길 42-7,"101,500 "
청주지점,충북 청주시 흥덕구 2순환로 1262,"2,000 "
가산지점,서울 송파구 정의로8길 9,"46,667 "
구미지점,경북 구미시 산호대로 170,"41,648 "
시화지점,경기 화성시 남양읍 남양로 59-13,"2,000 "
충주지점,충북 음성군 생극면 생삼로 143-22,"1,000 "
기업구조조정1실,부산 강서구 녹산산단262로 16,"15,646 "
평택지점,경기 안성시 원곡면 지문로 410,928 
종로지점,경기 안산시 단원구 해봉로 225,"12,200 "
서초지점,경기 안산시 단원구 강촌로 221-8,0 
대구지점,대구 동구 안심로59길 8,"4,193 "
충주지점,충북 청주시 흥덕구 옥산면 호죽화산로 172,"3,900 "
충주지점,경북 구미시 고아읍 농공단지길 53-17,"9,000 "
충주지점,충북 충주시 주덕읍 중원산업로 101,"13,751 "
평택지점,충북 진천군 문백면 농다리로 255,"5,800 "
김해지점,경남 김해시 진영읍 본산로 92,"5,000 "
아산지점,충남 아산시 둔포면 윤보선로336번길 49,"1,990 "
김포지점,경기 부천시 부천로431번길 30,"2,000 "
목포지점,광주 광산구 하남산단9번로 30,187 
가산지점,"서울 금천구 가산디지털1로 145, 1404호",500 
금정지점,충북 청주시 흥덕구 옥산면 과학산업1로 142,"6,655 "
마곡지점,경기 화성시 안녕남로 132,"35,300 "
안산지점,세종 전동면 배일길 31,"96,052 "
판교지점,경북 영주시 장수면 용주로 551,"1,778 "
인천지점,인천 중구 서해대로209번길 23,"29,801 "
마포지점,서울 마포구 상암동 1653번지 DMC이안오피스텔2단지,"4,400 "
천안지점,경기 화성시 동탄순환대로29길 25,0 
,부산 영도구 남항동2가 236-4 멀티미디어지원센타 401호,3 
구미지점,대구 달서구 성서4차첨단로 62,"33,242 "
원주지점,강원 삼척시 도계읍 도상로 512,"16,000 "
천안지점,충남 천안시 서북구 직산읍 4산단2길 19,"15,500 "
목포지점,전남 담양군 무정면 무정로 818-6,"1,000 "
평택지점,충남 아산시 둔포면 아산밸리남로110번길 99,"2,290 "
영업부,서울 동작구 동작대로 35,"8,000 "
아산지점,충남 아산시 인주면 인주산단로 23-50,"6,500 "
안양지점,"경기 시흥시 정왕천로 187, 403호","7,000 "
시화지점,경기 시흥시 엠티브이26로 24,"8,500 "
군산지점,경기 평택시 서탄면 수월암4길 200,"2,000 "
성서지점,대구 달서구 성서로36안길 5,"5,060 "
부산지점,부산 강서구 녹산산단382로50번길 3,"7,943 "
김해지점,경남 김해시 주촌면 서부로1701번안길 58-187,"10,000 "
포항지점,경북 경산시 진량읍 공단4로 20,"4,000 "
창원지점,경남 창원시 성산구 공단로 551,"64,583 "
목포지점,전남 무안군 청계면 청계공단길 62,"17,300 "
천안지점,경기 수원시 권선구 산업로156번길 100,"39,250 "
군산지점,대전 유성구 죽동로 95,"1,000 "
아산지점,충남 아산시 온천대로1770번길 63,"4,890 "
부천지점,인천 남동구 능허대로 645,"9,300 "
창원지점,경남 창원시 의창구 사화로 172,"1,500 "
기업금융4실,서울 강동구 양재대로102길 51,"17,163 "
천안지점,충남 아산시 음봉면 아산온천로 528-24,"7,000 "
대전지점,세종 연동면 청연로 442-16,"3,000 "
안산지점,충남 보령시 주교면 관창공단길 165,"40,479 "
성서지점,대구 달서구 성서로35길 6,"124,150 "
당진지점,충남 당진시 송산면 능안길 212-14,"18,150 "
기업금융4실,광주 광산구 용아로 717,"25,000 "
군산지점,전북 완주군 봉동읍 완주산단7로 115,"2,300 "
대덕지점,대전 대덕구 평촌2길 24,"15,400 "
시화지점,경기 화성시 향남읍 토성로 295,"7,000 "
시화지점,경기 안산시 단원구 산단로 153,"4,000 "
경산지점,대구 서구 북비산로6길 28,"5,000 "
해운대지점,부산 금정구 공단동로55번길 28,"5,000 "
인천지점,인천 서구 가정로37번길 50,"34,431 "
성서지점,경북 칠곡군 약목면 관호리 797-4번지,"5,000 "
송도지점,경기 김포시 양촌읍 학운산단2로 38,"7,381 "
서부산지점,경남 창원시 진해구 남의로21번길 36,"5,311 "
충주지점,"서울 송파구 정의로7길 6, 7층, 8층","17,998 "
성서지점,대구 달성군 논공읍 논공중앙로 428,"1,000 "
안산지점,충북 음성군 맹동면 리노산단길 14,"7,480 "
서소문지점,"인천 남동구 남동대로49번길 64, 남동공단","9,600 "
울산지점,경남 양산시 어곡공단3길 14-2,"4,000 "
김해지점,경남 김해시 장유로55번안길 65,"1,000 "
평택지점,충남 아산시 둔포면 아산밸리로 271,0 
부천지점,경기 평택시 포승읍 포승공단로118번길 118,"35,778 "
창원지점,경남 창원시 성산구 월림로 62,"31,976 "
김해지점,경남 김해시 주촌면 골든루트로 158-7,"3,400 "
오창지점,경기 광주시 오포읍 오포로448번길 8,"2,373 "
서소문지점,인천 남동구 능허대로577번길 124,"5,000 "
노원지점,경기 포천시 화합로 242,"3,000 "
아산지점,"서울 영등포구 버드나루로 84, 2층","2,000 "
창원지점,경남 창원시 마산합포구 진북면 농공단지로 31,"10,499 "
당진지점,광주 광산구 하남산단3번로 55,"15,499 "
천안지점,충남 아산시 음봉면 산동로 427,"1,600 "
창원지점,경남 창원시 성산구 웅남로 618,"30,000 "
안산지점,"경기 안산시 단원구 동산로 63, 401호",139 
부천지점,인천 계양구 아나지로 262,"21,117 "
김해지점,경남 김해시 분성로 602,"15,092 "
,"경기 성남시 분당구 판교로255번길 68, 3층","1,421 "
강남지점,충북 증평군 도안면 모래재로 190-36,"8,100 "
마곡지점,서울 강남구 봉은사로108길 33,0 
영업부,경남 양산시 웅상대로 1564,"74,753 "
군산지점,충북 진천군 광혜원면 죽현리 55-13번지,"24,695 "
포항지점,울산 울주군 온산읍 당월로 216-18,"161,000 "
당진지점,충남 서산시 성연면 성연3로 133-25,"25,095 "
평택지점,경기 평택시 청북읍 양교1길 134,"7,702 "
반포지점,서울 서초구 반포대로 85,"2,000 "
춘천지점,강원 평창군 용평면 경강로 1712,"4,180 "
가산지점,서울 금천구 디지털로 185,"69,440 "
시화지점,충남 천안시 서북구 직산읍 4산단6길 77,"7,988 "
당진지점,경기 의왕시 고천공업로 28,"7,550 "
김해지점,부산 금정구 개좌로 174,"21,348 "
구미지점,경기 동두천시 평화로2862번길 28,"41,000 "
판교지점,경기 성남시 중원구 둔촌대로 494,"5,000 "
대덕지점,대전 중구 문화로 282,"356,400 "
가산지점,"서울 금천구 벚꽃로 278, 1209호","15,500 "
반포지점,부산 기장군 정관읍 농공길 2-9,"3,109 "
오창지점,"서울 강남구 영동대로 333, 7층",0 
서소문지점,서울 강남구 삼성1동 150-30번지 예성빌딩 2층 지하1층,"3,900 "
