은행명(1),ⓐ지로코드(2),지로코드 수정,특/광/도(9),구/시/군(10),구/읍/면/동(11),도로명(19),건물번호 등(20),결합주소_temp,결합주소,depth_1,depth_2,depth_3,From_금결
우리은행,201139,0201139,경기,부천,춘의동,부천로198길,27,경기 부천 부천로198길,경기 부천 부천로198길 27,경기,부천시,춘의동,경기도　부천시　부천로１９８번길　２７　（춘의동）　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,201414,0201414,서울,강남구,논현동,언주로,710,서울 강남구 언주로,서울 강남구 언주로 710,서울,강남구,논현동,서울특별시　강남구　언주로　６３７　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,202439,0202439,인천,남구,용현동,낙성서로,4,인천 남구 낙성서로,인천 남구 낙성서로 4,부산,연제구,거제동,부산시　연제구　거제동　１４７７－１　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,202730,0202730,서울,강남구,도곡동,남부순환로,2804,서울 강남구 남부순환로,서울 강남구 남부순환로 2804,서울,강남구,도곡동,서울　강남구　도곡동　４６７－７　아카데미스위트　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,203069,0203069,경기,화성,향남면,삼천병마로1597번길,228,경기 화성 삼천병마로1597번길,경기 화성 삼천병마로1597번길 228,경기,화성시,향남읍 평리,경기　화성시　향남면　평리　８１－１５　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,203111,0203111,서울,강서구,가양동,양천로57길,10월 10일,서울 강서구 양천로57길,서울 강서구 양천로57길 44844,서울,강서구,가양동,서울　강서구　가양동　１４７４　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,203221,0203221,서울,강남구,일원본동,광평로9길,34,서울 강남구 광평로9길,서울 강남구 광평로9길 34,서울,중구,흥인동,서울　중구　흥인동　２９　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,203771,0203771,경기,용인,죽전동,현람로,81,경기 용인 현람로,경기 용인 현람로 81,경기,용인시 수지구,죽전동,경기　용인시　수지구　죽전동　１１７４－１　벤포스타빌딩　　　　　　　　　　　　　　　　　　　　　　
우리은행,203904,0203904,경기,화성,태안읍,경기도대로,1038,경기 화성 경기도대로,경기 화성 경기도대로 1038,경기,화성시,진안동,경기　화성시　태안읍　진안리　５２７－１６　　　　　　　　　　　　　　　　　　　　　　　　　　　　　
우리은행,203933,0203933,서울,강남구,논현동,논련로,612,서울 강남구 논련로,서울 강남구 논련로 612,대전,서구,둔산동,대전광역시　서구　둔산동　１４９５　대전（지）　２층　　　　　　　　　　　　　　　　　　　　　　　　
