은행명(1),ⓐ지로코드(2),특/광/도(9),구/시/군(10),구/읍/면/동(11),도로명(19),건물번호 등(20),결합주소_temp,결합주소,depth_1,depth_2,depth_3
SC제일은행,231840,서울특별시,동대문구,장안동,장안벚꽃로,107,서울특별시 동대문구 장안벚꽃로,서울특별시 동대문구 장안벚꽃로 107,서울,동대문구,장안동
SC제일은행,231879,서울특별시,광진구,자양동,뚝섬로,587,서울특별시 광진구 뚝섬로,서울특별시 광진구 뚝섬로 587,서울,광진구,자양동
SC제일은행,231882,서울특별시,성동구,마장동,마장로,76,서울특별시 성동구 마장로,서울특별시 성동구 마장로 76,NAN,NAN,NAN
SC제일은행,231918,서울특별시,강남구,도곡동,언주로30길,21,서울특별시 강남구 언주로30길,서울특별시 강남구 언주로30길 21,서울,강남구,도곡동
SC제일은행,232027,서울특별시,강남구,역삼동,강남대로,406,서울특별시 강남구 강남대로,서울특별시 강남구 강남대로 406,서울,강남구,역삼동
SC제일은행,232030,서울특별시,송파구,신천동,올림픽로35길,124,서울특별시 송파구 올림픽로35길,서울특별시 송파구 올림픽로35길 124,서울,송파구,신천동
SC제일은행,232043,서울특별시,송파구,잠실7동,올림픽로4길,40,서울특별시 송파구 올림픽로4길,서울특별시 송파구 올림픽로4길 40,서울,송파구,잠실동
SC제일은행,232098,서울특별시,송파구,송파동,가락로,183,서울특별시 송파구 가락로,서울특별시 송파구 가락로 183,서울,송파구,송파동
SC제일은행,232108,서울특별시,송파구,마천동,마천로,22,서울특별시 송파구 마천로,서울특별시 송파구 마천로 22,서울,송파구,방이동
SC제일은행,232111,서울특별시,강동구,성내동,천호대로,1102,서울특별시 강동구 천호대로,서울특별시 강동구 천호대로 1102,서울,강동구,성내동
SC제일은행,232124,서울특별시,강남구,역삼동,강남대로,330,서울특별시 강남구 강남대로,서울특별시 강남구 강남대로 330,서울,강남구,역삼동
SC제일은행,232137,서울특별시,송파구,문정동,중대로,24,서울특별시 송파구 중대로,서울특별시 송파구 중대로 24,서울,송파구,문정동
SC제일은행,232140,서울특별시,강남구,삼성동,테헤란로87길,46,서울특별시 강남구 테헤란로87길,서울특별시 강남구 테헤란로87길 46,서울,강남구,삼성동
SC제일은행,232153,서울특별시,강남구,논현동,도산대로,312,서울특별시 강남구 도산대로,서울특별시 강남구 도산대로 312,서울,강남구,논현동
SC제일은행,232166,서울특별시,송파구,잠실동,백제고분로,170,서울특별시 송파구 백제고분로,서울특별시 송파구 백제고분로 170,서울,송파구,잠실동
SC제일은행,232179,서울특별시,서초구,양재동,논현로,39,서울특별시 서초구 논현로,서울특별시 서초구 논현로 39,서울,서초구,양재동
SC제일은행,232182,서울특별시,송파구,가락동,중대로9길,39,서울특별시 송파구 중대로9길,서울특별시 송파구 중대로9길 39,서울,송파구,가락동
SC제일은행,232205,서울특별시,송파구,문정동,문정로,19,서울특별시 송파구 문정로,서울특별시 송파구 문정로 19,서울,송파구,문정동
SC제일은행,232218,서울특별시,강동구,둔촌동,양재대로,1378,서울특별시 강동구 양재대로,서울특별시 강동구 양재대로 1378,서울,강동구,둔촌동
SC제일은행,232234,서울특별시,강남구,삼성동,삼성로,640,서울특별시 강남구 삼성로,서울특별시 강남구 삼성로 640,서울,강남구,삼성동
SC제일은행,232247,서울특별시,송파구,방이동,마천로,39,서울특별시 송파구 마천로,서울특별시 송파구 마천로 39,서울,송파구,방이동
SC제일은행,232250,서울특별시,성북구,동소문동5가,동소문로,98,서울특별시 성북구 동소문로,서울특별시 성북구 동소문로 98,서울,성북구,동소문동5가
SC제일은행,232276,서울특별시,성북구,석관동,돌곶이로,48,서울특별시 성북구 돌곶이로,서울특별시 성북구 돌곶이로 48,서울,성북구,석관동
SC제일은행,232328,서울특별시,성북구,하월곡동,오패산로,49,서울특별시 성북구 오패산로,서울특별시 성북구 오패산로 49,서울,성북구,하월곡동
SC제일은행,232438,서울특별시,강동구,명일동,양재대로,1576,서울특별시 강동구 양재대로,서울특별시 강동구 양재대로 1576,서울,강동구,명일동
SC제일은행,232470,경기도,광명시,철산3동,광덕산로,5,경기도 광명시 광덕산로,경기도 광명시 광덕산로 5,경기,광명시,철산동
SC제일은행,232506,서울특별시,강북구,수유1동,노해로,3,서울특별시 강북구 노해로,서울특별시 강북구 노해로 3,서울,강북구,수유동
SC제일은행,232519,서울특별시,도봉구,도봉동,도봉로,873,서울특별시 도봉구 도봉로,서울특별시 도봉구 도봉로 873,서울,도봉구,도봉동
SC제일은행,232551,서울특별시,노원구,상계동,동일로,1528,서울특별시 노원구 동일로,서울특별시 노원구 동일로 1528,서울,노원구,상계동
SC제일은행,232755,서울특별시,중구,서소문동,서소문로,116,서울특별시 중구 서소문로,서울특별시 중구 서소문로 116,서울,중구,서소문동
SC제일은행,232768,서울특별시,은평구,응암동,은평로,127,서울특별시 은평구 은평로,서울특별시 은평구 은평로 127,서울,은평구,응암동
SC제일은행,232771,서울특별시,은평구,대조동,연서로,222,서울특별시 은평구 연서로,서울특별시 은평구 연서로 222,서울,은평구,대조동
SC제일은행,232784,서울특별시,서대문구,연희동,증가로,9,서울특별시 서대문구 증가로,서울특별시 서대문구 증가로 9,서울,서대문구,연희동
SC제일은행,232807,서울특별시,서대문구,남가좌동,증가로,145,서울특별시 서대문구 증가로,서울특별시 서대문구 증가로 145,서울,서대문구,남가좌동
SC제일은행,233000,서울특별시,마포구,동교동,신촌로,10,서울특별시 마포구 신촌로,서울특별시 마포구 신촌로 10,서울,마포구,동교동
SC제일은행,233026,서울특별시,마포구,합정동,독막로,5,서울특별시 마포구 독막로,서울특별시 마포구 독막로 5,서울,마포구,합정동
SC제일은행,233039,서울특별시,마포구,도화동,마포대로,34,서울특별시 마포구 마포대로,서울특별시 마포구 마포대로 34,서울,마포구,도화동
SC제일은행,233055,서울특별시,서대문구,창천동,신촌로,109,서울특별시 서대문구 신촌로,서울특별시 서대문구 신촌로 109,서울,서대문구,창천동
SC제일은행,233259,서울특별시,용산구,한강로2가,한강대로,92,서울특별시 용산구 한강대로,서울특별시 용산구 한강대로 92,서울,용산구,한강로2가
SC제일은행,233262,서울특별시,용산구,후암동,후암로,46,서울특별시 용산구 후암로,서울특별시 용산구 후암로 46,서울,용산구,후암동
SC제일은행,233275,서울특별시,용산구,이촌동,이촌로,223-13,서울특별시 용산구 이촌로,서울특별시 용산구 이촌로 223-13,서울,용산구,이촌동
SC제일은행,233291,서울특별시,용산구,원효로,청파로,72,서울특별시 용산구 청파로,서울특별시 용산구 청파로 72,NAN,NAN,NAN
SC제일은행,233505,서울특별시,영등포구,영등포동4가,영등포로,210,서울특별시 영등포구 영등포로,서울특별시 영등포구 영등포로 210,서울,영등포구,영등포동4가
SC제일은행,233534,서울특별시,구로구,구로동,시흥대로,551,서울특별시 구로구 시흥대로,서울특별시 구로구 시흥대로 551,서울,구로구,구로동
SC제일은행,233547,서울특별시,금천구,독산동,시흥대로,414,서울특별시 금천구 시흥대로,서울특별시 금천구 시흥대로 414,서울,금천구,독산동
SC제일은행,233550,서울특별시,구로구,개봉동,개봉로,Jan-33,서울특별시 구로구 개봉로,서울특별시 구로구 개봉로 12055,NAN,NAN,NAN
SC제일은행,233576,서울특별시,영등포구,여의도동,국제금융로,56,서울특별시 영등포구 국제금융로,서울특별시 영등포구 국제금융로 56,서울,영등포구,여의도동
