,지점_start,지점_end,도로명주소_start,도로명주소_end,x,x_start,y,y_start,Distance
99,일산지점,당진지점,경기도 고양시 일산동구 중앙로 1201,충청남도 당진시 당진중앙2로 211-15,126.776247,126.6345834,37.65375491,36.89736949,114.01
100,일산지점,한티지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 강남구 도곡로 408,126.776247,127.0552332,37.65375491,37.49662252,40.38
101,일산지점,김포지점,경기도 고양시 일산동구 중앙로 1201,경기도 김포시 중봉로 15,126.776247,126.6969501,37.65375491,37.62369751,12.37
102,일산지점,용인지점,경기도 고양시 일산동구 중앙로 1201,경기도 용인시 기흥구 동백중앙로 269,126.776247,127.1530514,37.65375491,37.27670083,70.38
103,일산지점,반포지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 서초구 반포대로 287,126.776247,127.0008092,37.65375491,37.50439895,30.67
104,일산지점,가산지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 금천구 가산디지털1로 128,126.776247,126.8836952,37.65375491,37.47723652,28.64
105,일산지점,원주지점,경기도 고양시 일산동구 중앙로 1201,강원도 원주시 건강로 1,126.776247,127.9861066,37.65375491,37.32721002,146.3
106,일산지점,서소문지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 중구 서소문로 115,126.776247,126.9736346,37.65375491,37.563414,28.39
107,일산지점,도곡지점대치영업단,경기도 고양시 일산동구 중앙로 1201,서울특별시 강남구 남부순환로 2935,126.776247,127.0613344,37.65375491,37.49399407,40.19
108,일산지점,잠원지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 서초구 강남대로 565,126.776247,127.020313,37.65375491,37.51222369,32.86
109,일산지점,판교지점,경기도 고양시 일산동구 중앙로 1201,경기도 성남시 분당구 판교역로 152,126.776247,127.1103068,37.65375491,37.39424541,49.84
110,일산지점,아산지점,경기도 고양시 일산동구 중앙로 1201,충청남도 아산시 번영로234번길 2,126.776247,127.0164785,37.65375491,36.78369976,121.39
111,일산지점,동탄지점,경기도 고양시 일산동구 중앙로 1201,경기도 화성시 동탄솔빛로 51,126.776247,127.0730312,37.65375491,37.19363571,73.4
112,일산지점,경산지점,경기도 고양시 일산동구 중앙로 1201,경상북도 경산시 대학로 73,126.776247,128.7305452,37.65375491,35.83439474,328.14
113,일산지점,성동지점,경기도 고양시 일산동구 중앙로 1201,서울특별시 성동구 성수이로20길 3,126.776247,127.0571763,37.65375491,37.54373594,38.05
114,일산지점,양산지점,경기도 고양시 일산동구 중앙로 1201,경상남도 양산시 양산역6길 9,126.776247,129.0270657,37.65375491,35.33755201,403.84
115,일산지점,송도지점,경기도 고양시 일산동구 중앙로 1201,인천광역시 연수구 인천타워대로 99,126.776247,126.6423042,37.65375491,37.38117862,42.84
116,일산지점,오창지점,경기도 고양시 일산동구 중앙로 1201,충청북도 청주시 청원구 오창읍 중심상업로 47,126.776247,127.4289545,37.65375491,36.71507656,150.17
117,일산지점,군산지점,경기도 고양시 일산동구 중앙로 1201,전라북도 군산시 월명로 206,126.776247,126.7161171,37.65375491,35.96231797,226.95
