고객명,관리부점명,본사주소,"기업
공개",회계 감사의견,"기업
규모",기준연월,당행_기준년도,당행_직전년도,당행_직직전년도,기준년도,매출액_기준년도,매출액_직전년도,매출액_직직전년도,영업이익_기준년도,영업이익_직전년도,영업이익_직직전년도,당기순이익_기준년도,당기순이익_직전년도,당기순이익_직직전년도,depth_1,depth_2,depth_3,x,y
디케이동신(주),포항지점,경북 포항시 남구 대송로 154,외감,적정,대기업,202205,0 ,0 ,"3,932 ",2021,"243,944 ","132,960 ","143,046 ","17,711 ","3,601 ",733 ,"18,782 ",734 ,"-2,552 ",경북,포항시 남구,괴동동,129.371461991669,35.9938703923107
(주)신화테크,포항지점,경북 포항시 남구 오천읍 송덕로212번길 58,외감,적정,중소기업,202205,"1,000 ","1,000 ","1,500 ",2021,"41,220 ","34,353 ","46,994 ","2,102 ","1,470 ","2,647 ","1,639 ",701 ,"-5,638 ",경북,포항시 남구,오천읍 문덕리,129.386792950071,35.9496858075772
(주)성호기업,포항지점,경북 경주시 천북면 천북산단로1길 74-51,외감,적정,대기업,202205,"17,559 ","14,932 ","17,207 ",2021,"371,898 ","205,166 ","225,070 ","4,027 ","2,200 ","2,297 ","1,511 ","1,352 ","1,486 ",경북,경주시,천북면 오야리,129.267961000708,35.9374457721341
(주)에스앤드더블유아이엔디,포항지점,경북 경주시 천북면 천북산단로 184-30,외감,적정,중소기업,202205,"2,000 ","2,000 ","2,500 ",2021,"14,784 ","15,211 ","21,397 ",272 ,473 ,816 ,419 ,284 ,794 ,경북,경주시,천북면 오야리,129.272503983649,35.9449874895532
(주)범비에스티,포항지점,경북 포항시 남구 오천읍 철강산단로130번길 187-6,외감,적정,중소기업,202205,"1,000 ","1,500 ","2,000 ",2021,"8,734 ","13,931 ","15,914 ",35 ,438 ,313 ,-127 ,211 ,216 ,경북,포항시 남구,오천읍 문덕리,129.390659414825,35.9583607201288
현대강업(주),포항지점,경북 경주시 외동읍 내외로 352-63,외감,적정,중소기업,202205,"1,000 ",0 ,0 ,2021,"82,559 ","66,775 ","71,735 ","2,310 ",762 ,507 ,"1,900 ",-736 ,626 ,경북,경주시,외동읍 냉천리,129.295148087035,35.7134994229797
세진이노테크(주),포항지점,울산 울주군 온산읍 당월로 128,외감,,중소기업,202205,"23,900 ","23,130 ",0 ,2021,615 ,260 ,624 ,440 ,"-1,215 ",369 ,835 ,"13,735 ","-1,032 ",울산,울주군,온산읍 당월리,129.352263514091,35.4153267403352
(주)범일기전,포항지점,경북 구미시 산호대로30길 8-6,일반,,중소기업,202205,200 ,0 ,0 ,2021,"37,041 ","26,386 ","18,431 ","1,545 ","1,083 ",474 ,"1,337 ",950 ,293 ,경북,구미시,옥계동,128.419115398159,36.1361033263208
(주)신평,포항지점,"경상북도 경주시 천북면 오야리1-1, 강동면 왕신리 산266 천북일반산업단지 22-1블럭",외감,적정,중소기업,202205,"4,673 ","3,239 ","1,871 ",2021,"78,733 ","47,929 ","50,982 ","8,044 ","1,110 ",630 ,"7,835 ",823 ,229 ,NAN,NAN,NAN,NAN,NAN
(주)렉셈,포항지점,경북 포항시 남구 호동로 26,외감,적정,중소기업,202205,800 ,800 ,800 ,2021,"35,322 ","32,307 ","32,897 ",999 ,"1,195 ","1,580 ",312 ,209 ,396 ,경북,포항시 남구,호동,129.382175784828,35.9798085766425
(주)신우,포항지점,경북 포항시 남구 장기면 장기로 646,일반,,중소기업,202205,955 ,670 ,671 ,2021,"20,830 ","19,607 ","19,672 ",720 ,609 ,643 ,519 ,513 ,525 ,경북,포항시 남구,장기면 금오리,129.490814649874,35.9183978742237
(주)아인스시스템,포항지점,서울 용산구 원효로 138,외감,적정,대기업,202205,"3,200 ","2,500 ","1,500 ",2021,"188,807 ","161,856 ","160,100 ","4,078 ","1,716 ","1,097 ","3,529 ","1,294 ",675 ,서울,용산구,원효로3가,126.958787191755,37.5337520287423
(주)탑앤양지,포항지점,경북 칠곡군 석적읍 망정1길 3,외감,적정,중소기업,202205,"2,028 ","2,028 ","2,410 ",2021,"40,480 ","34,235 ","53,579 ","1,241 ",306 ,-575 ,"5,366 ","1,005 ","8,907 ",경북,칠곡군,석적읍 망정리,128.442717859434,36.0396575972254
(주)해원티앤디,포항지점,부산 사상구 괘감로 59-14,외감,적정,중소기업,202205,"5,000 ","5,000 ","5,000 ",2021,"33,764 ","26,850 ","27,323 ","2,442 ",748 ,"1,434 ","1,932 ",360 ,841 ,부산,사상구,괘법동,128.981472493389,35.1588210241538
경주풍력발전(주),포항지점,경북 경주시 문무대왕면 불국로 1056-185,외감,적정,대기업,202205,"9,985 ","9,985 ",0 ,2021,"15,289 ","13,939 ","15,548 ","5,671 ","4,912 ","6,686 ","3,132 ","2,112 ","4,048 ",경북,경주시,문무대왕면 장항리,129.364889661209,35.7497300161942
(주)우성케미칼,포항지점,경북 영천시 북안면 대원당길 18,외감,적정,중소기업,202205,"1,200 ","1,200 ","1,200 ",2021,"63,336 ","53,991 ","56,157 ","1,517 ","1,049 ","1,169 ",944 ,687 ,637 ,경북,영천시,북안면 원당리,129.010243523002,35.9321585504719
에스켐텍(주),포항지점,경북 경주시 안강읍 두류길 100-39,일반,,중소기업,202205,0 ,100 ,"2,350 ",2021,"10,132 ","8,358 ","8,521 ",-446 ,226 ,744 ,237 ,637 ,837 ,경북,경주시,안강읍 두류리,129.161350504063,35.981198662744
일신로지스틱스(주),포항지점,경북 포항시 북구 해동로 319,외감,적정,중소기업,202205,"4,000 ","4,000 ","4,000 ",2021,"16,742 ","15,463 ","16,610 ","1,173 ","1,018 ","1,434 ","1,136 ",277 ,232 ,경북,포항시 북구,동빈1가,129.371571400373,36.0475615957434
대진하이텍(주),포항지점,경북 경주시 천북면 천북로 200-15,외감,적정,중소기업,202205,"7,600 ","6,450 ","5,650 ",2021,"34,300 ","22,968 ","25,416 ","1,499 ",467 ,"1,469 ","1,028 ",115 ,"1,398 ",경북,경주시,천북면 신당리,129.255406431259,35.8976644109529
(주)에이치엠지,포항지점,대구 동구 신덕로5길 79,일반,,중소기업,202205,300 ,0 ,0 ,2021,"4,771 ","2,749 ","2,745 ",382 ,257 ,191 ,301 ,173 ,112 ,대구,동구,신평동,128.694806427099,35.8839566631303
(주)티에스스틸,포항지점,경북 경주시 강동면 천강로 694,외감,적정,중소기업,202205,"4,113 ","5,043 ","6,951 ",2021,"45,789 ","47,691 ","43,050 ",664 ,"2,092 ",996 ,219 ,472 ,235 ,경북,경주시,강동면 왕신리,129.294031564132,35.9474268784351
